label,0
Cookies and Similar Technologies,362
Data Retention,172
Data Security,285
Data Transfer,143
First Party Collection,1341
First Party Use,1107
Internal and Specific Audiences,229
Introductory/Generic,462
Legal Basis,177
Links,122
Other,5061
Policy Change,218
Privacy Contact Information,281
Third Party Sharing and Collection,1082
User Control,215
User Right,673
